,precision,recall,f1-score,support
Happy,0.612,0.6219512195121951,0.6169354838709677,246.0
Angry,0.6956521739130435,0.6692015209125475,0.6821705426356589,263.0
Calm,0.6201117318435754,0.7184466019417476,0.6656671664167916,309.0
Sad,0.5571428571428572,0.4624505928853755,0.5053995680345572,253.0
accuracy,0.6237161531279178,0.6237161531279178,0.6237161531279178,0.6237161531279178
macro avg,0.621226690724869,0.6180124838129665,0.6175431902394939,1071.0
weighted avg,0.6219236131988217,0.6237161531279178,0.6206668785069729,1071.0
