,precision,recall,f1-score,support
Happy,0.0,0.0,0.0,15.0
Angry,0.23728813559322035,0.9333333333333333,0.37837837837837834,15.0
Calm,0.0,0.0,0.0,15.0
Sad,0.0,0.0,0.0,15.0
accuracy,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334
macro avg,0.059322033898305086,0.23333333333333334,0.09459459459459459,60.0
weighted avg,0.059322033898305086,0.23333333333333334,0.09459459459459459,60.0
