file,tempo,rms_mean,rms_std,zcr_mean,spectral_centroid_mean,spectral_rolloff_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
angry_001.wav,161.4990234375,0.0774935707449913,0.0293746218085289,0.04270000605620155,646.8777824960326,1112.3652116642443,0.47254031896591187,0.1814737319946289,0.0790087878704071,0.07157076150178909,0.3102962076663971,0.35997307300567627,0.16433259844779968,0.354140967130661,0.21242722868919373,0.4145289659500122,0.23418228328227997,0.1786511093378067,-326.4498596191406,37.66557312011719,221.92446899414062,15.184919357299805,-6.239361763000488,20.067665100097656,-10.718134880065918,9.178167343139648,25.409914016723633,8.639491081237793,-2.104779005050659,8.57463550567627,-17.991106033325195,8.643431663513184,-7.992231369018555,7.004129886627197,-5.082095623016357,5.354724407196045,-9.982626914978027,6.093899726867676,-7.349869728088379,7.13756799697876,-5.583194255828857,8.332375526428223,-8.608936309814453,7.7622880935668945
angry_002.wav,99.38401442307692,0.05499935895204544,0.01641014777123928,0.042882070615310075,763.5366072205377,1382.3982558139535,0.1901932656764984,0.10969782620668411,0.17742030322551727,0.39883890748023987,0.2004712074995041,0.3996579647064209,0.16521874070167542,0.3161899447441101,0.37519705295562744,0.18797580897808075,0.1932014673948288,0.10418570786714554,-332.3338623046875,43.92964553833008,210.2222900390625,15.595307350158691,-25.805147171020508,17.401084899902344,4.701038837432861,14.548447608947754,19.66172218322754,11.201674461364746,-5.360743522644043,6.900892734527588,-13.627561569213867,6.4733099937438965,-13.997879981994629,7.7845377922058105,-12.71893310546875,6.905273914337158,-13.841106414794922,5.8878173828125,-9.192949295043945,7.546043872833252,-5.861295223236084,7.312662124633789,-12.158602714538574,6.601140975952148
angry_003.wav,117.45383522727273,0.04024946317076683,0.032569821923971176,0.05328586785368217,804.4831294727034,1429.0451830486918,0.2999637722969055,0.14310304820537567,0.3581104576587677,0.16579356789588928,0.11299081146717072,0.21774999797344208,0.07698220759630203,0.11703290045261383,0.2522747814655304,0.2699781656265259,0.4457896053791046,0.17565158009529114,-358.2137451171875,63.204341888427734,162.95420837402344,24.44599723815918,3.5112342834472656,34.998695373535156,-4.2767333984375,13.133539199829102,8.432601928710938,13.072687149047852,-5.8488240242004395,10.380599975585938,-18.665206909179688,7.793986797332764,-17.962902069091797,7.603176116943359,-5.741219520568848,7.953431606292725,-5.837530136108398,7.628450393676758,-13.54422664642334,6.640632629394531,-11.22439193725586,8.785264015197754,-6.300885200500488,7.730546474456787
angry_004.wav,129.19921875,0.03291976824402809,0.014650323428213596,0.04651503452034884,806.644549130563,1408.4801394440408,0.29382309317588806,0.16341595351696014,0.19727888703346252,0.13583627343177795,0.12257681787014008,0.22977034747600555,0.07029177993535995,0.09471023082733154,0.07998697459697723,0.31777042150497437,0.46666449308395386,0.20291754603385925,-398.5611877441406,56.51219177246094,191.86135864257812,18.08359718322754,-19.994060516357422,32.3917350769043,-7.615478992462158,14.869333267211914,12.35393238067627,12.392393112182617,-7.460077285766602,9.039936065673828,-12.87781810760498,7.903896331787109,-14.169443130493164,10.283956527709961,-16.966110229492188,6.881407260894775,-13.826521873474121,7.8200531005859375,-9.989081382751465,6.09049129486084,-9.686363220214844,6.641427040100098,-8.127176284790039,7.907501697540283
angry_005.wav,112.34714673913044,0.02744169533252716,0.011701846495270729,0.03282574794089147,481.07466502387587,628.6693768168604,0.3074876368045807,0.2235046625137329,0.25720322132110596,0.08013370633125305,0.11295638978481293,0.22354839742183685,0.108205147087574,0.07914955168962479,0.17571793496608734,0.4207248091697693,0.40381553769111633,0.19316637516021729,-473.9820251464844,30.7718563079834,195.43988037109375,14.93925952911377,60.36506271362305,19.586137771606445,4.341444492340088,9.742364883422852,6.139401435852051,11.112110137939453,1.8430339097976685,9.489996910095215,-11.741497993469238,7.310941696166992,-11.18281364440918,7.0484538078308105,-6.451159954071045,7.124504566192627,-9.441205978393555,7.525846004486084,-13.61530876159668,6.551421165466309,-12.406614303588867,5.789210796356201,-6.827336311340332,6.635951995849609
angry_006.wav,129.19921875,0.027765294536948204,0.012837430462241173,0.046393910489341085,758.3019130437307,1307.8917037609012,0.108852818608284,0.19729024171829224,0.30727261304855347,0.09944842755794525,0.10886161774396896,0.3408646881580353,0.1894996464252472,0.2842659056186676,0.16149254143238068,0.43020638823509216,0.46898970007896423,0.120205819606781,-401.21563720703125,68.95623016357422,192.9457550048828,21.27834701538086,0.2842228412628174,34.685489654541016,9.398756980895996,13.378235816955566,11.771862983703613,12.695880889892578,-8.30539608001709,9.718724250793457,-10.271678924560547,8.9016695022583,-7.309897422790527,9.239899635314941,-15.001043319702148,7.435391426086426,-11.553727149963379,6.280974388122559,-7.929222583770752,6.886884689331055,-10.105393409729004,8.218382835388184,-8.79287052154541,8.26050853729248
angry_007.wav,107.666015625,0.03987053036689758,0.017947163432836533,0.046182321947674417,735.0741230307474,1309.1352879723838,0.2193654328584671,0.11377283185720444,0.21373578906059265,0.4912596642971039,0.29385948181152344,0.44236934185028076,0.20334704220294952,0.2013014703989029,0.29313841462135315,0.2187984734773636,0.3224010169506073,0.14683672785758972,-367.2658996582031,63.2835807800293,214.94161987304688,22.56785011291504,-13.447134971618652,35.43905258178711,-2.460064649581909,14.132614135742188,19.09726333618164,10.825782775878906,-5.575989246368408,11.61798095703125,-7.073023319244385,6.829273223876953,-3.2915682792663574,7.817437171936035,-6.573216438293457,7.897917747497559,-7.282522678375244,5.879049301147461,-3.5815539360046387,7.0504937171936035,-2.9191107749938965,7.748723983764648,-9.323561668395996,7.569667339324951
angry_008.wav,172.265625,0.0486321784555912,0.023049425333738327,0.040696538880813954,697.5892507550132,1194.0661904978197,0.5086584091186523,0.7741023302078247,0.1618543267250061,0.040761809796094894,0.05647160857915878,0.1522887945175171,0.37263697385787964,0.1818152368068695,0.052281320095062256,0.04581715911626816,0.13214129209518433,0.12794531881809235,-362.2644958496094,65.72631072998047,193.3885040283203,19.721845626831055,0.20284679532051086,31.17207145690918,6.474853992462158,14.651423454284668,15.174795150756836,10.813738822937012,1.3052008152008057,7.9008469581604,-8.520524978637695,8.615652084350586,-4.290262222290039,8.041741371154785,0.49108168482780457,8.874062538146973,-5.31445837020874,5.432804584503174,-9.256115913391113,7.932521343231201,-7.3159050941467285,7.928715229034424,-6.94060754776001,7.58031702041626
angry_009.wav,80.74951171875,0.036571916192770004,0.012571431696414948,0.04051674539728682,746.9742284005264,1320.1355832122092,0.41344061493873596,0.16743683815002441,0.16094744205474854,0.49029797315597534,0.14004750549793243,0.08684588968753815,0.03433157876133919,0.16313709318637848,0.3366936147212982,0.2177198827266693,0.34378883242607117,0.2012481987476349,-373.6611022949219,36.37782669067383,191.67001342773438,13.883162498474121,-11.322185516357422,20.376405715942383,0.31546810269355774,12.252069473266602,11.944454193115234,10.643360137939453,-4.419951438903809,10.906468391418457,-6.935362339019775,7.076088905334473,-18.800853729248047,7.3817009925842285,-15.189798355102539,6.2429609298706055,-5.621078014373779,7.001805305480957,-12.950406074523926,6.5261454582214355,-11.575932502746582,6.0061187744140625,-8.67742919921875,7.301990509033203
angry_010.wav,123.046875,0.043416064232587814,0.025150643661618233,0.06761559774709303,929.1671196205094,1288.2530886627908,0.25250154733657837,0.10149694979190826,0.27103951573371887,0.18115872144699097,0.07401920855045319,0.0134973656386137,0.0468171052634716,0.22328226268291473,0.10452289134263992,0.08422595262527466,0.09313666820526123,0.37648919224739075,-399.9566345214844,45.19983673095703,159.6091766357422,21.0854549407959,2.2186365127563477,29.966960906982422,-19.976430892944336,14.139347076416016,-10.10340404510498,12.577146530151367,-4.675670146942139,11.126164436340332,-7.560250282287598,13.824501037597656,-1.5911318063735962,18.466938018798828,0.20116619765758514,15.412007331848145,-14.040069580078125,10.867988586425781,-17.10283660888672,16.029003143310547,-7.041282653808594,13.514228820800781,2.193044900894165,13.718015670776367
