,precision,recall,f1-score,support
Happy,1.0,0.06666666666666667,0.125,15.0
Angry,0.2542372881355932,1.0,0.4054054054054054,15.0
Calm,0.0,0.0,0.0,15.0
Sad,0.0,0.0,0.0,15.0
accuracy,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666
macro avg,0.3135593220338983,0.26666666666666666,0.13260135135135134,60.0
weighted avg,0.31355932203389825,0.26666666666666666,0.13260135135135134,60.0
