file,emotion,tempo,rms_mean,spectral_centroid_mean,chroma_peak
angry_01.wav,Angry,143.5546875,0.1434277892112732,639.3866045935274,0.5209794640541077
angry_02.wav,Angry,151.99908088235293,0.16587556898593903,848.6551002101612,0.6593007445335388
angry_03.wav,Angry,117.45383522727273,0.14575529098510742,841.9687754506059,0.5404784679412842
angry_04.wav,Angry,135.99917763157896,0.14611823856830597,661.4194949158016,0.5192127823829651
angry_05.wav,Angry,123.046875,0.11944811791181564,911.4719898001764,0.7357110381126404
angry_06.wav,Angry,123.046875,0.0704546719789505,972.8351727173759,0.44847166538238525
angry_07.wav,Angry,107.666015625,0.10869883745908737,764.3098096363739,0.7041493058204651
angry_08.wav,Angry,129.19921875,0.16505862772464752,662.752102192663,0.7521242499351501
angry_09.wav,Angry,143.5546875,0.1055111214518547,753.1571652359166,0.6157178282737732
angry_10.wav,Angry,103.359375,0.12639039754867554,890.1411115510916,0.41459062695503235
angry_11.wav,Angry,80.74951171875,0.1988961100578308,632.98050164701,0.8034242987632751
angry_12.wav,Angry,129.19921875,0.09793829172849655,986.4422206061888,0.4657907485961914
angry_13.wav,Angry,143.5546875,0.1795777976512909,739.9485907437537,0.5799199342727661
angry_14.wav,Angry,161.4990234375,0.14127250015735626,579.2885009509941,0.5089274048805237
angry_15.wav,Angry,123.046875,0.12424340099096298,736.9309387069878,0.5238043665885925
calm_01.wav,Calm,78.30255681818181,0.10951868444681168,596.7532267196951,0.5006756782531738
calm_02.wav,Calm,143.5546875,0.19801349937915802,586.2336392094962,0.5653128027915955
calm_03.wav,Calm,99.38401442307692,0.13607068359851837,634.1307316184598,0.47886404395103455
calm_04.wav,Calm,92.28515625,0.11467859894037247,561.9700481945843,0.6075433492660522
calm_05.wav,Calm,123.046875,0.09643357247114182,514.7229426325729,0.60378098487854
calm_06.wav,Calm,69.83741554054055,0.1255165934562683,527.5698014833963,0.8012382984161377
calm_07.wav,Calm,95.703125,0.11898626387119293,470.24666566766405,0.469816118478775
calm_08.wav,Calm,52.734375,0.08445586264133453,520.4464442460729,0.49445322155952454
calm_09.wav,Calm,69.83741554054055,0.12296528369188309,569.6503264683347,0.4536656141281128
calm_10.wav,Calm,92.28515625,0.17587397992610931,494.44074176105784,0.4268089532852173
calm_11.wav,Calm,71.77734375,0.1707773059606552,575.0224058699151,0.6566082239151001
calm_12.wav,Calm,117.45383522727273,0.14686648547649384,570.3084085201077,0.5947017669677734
calm_13.wav,Calm,198.76802884615384,0.10519351065158844,574.745141150171,0.5187628269195557
calm_14.wav,Calm,103.359375,0.12054644525051117,623.111041110959,0.3761557638645172
calm_15.wav,Calm,135.99917763157896,0.13887672126293182,464.96171765584705,0.4217607378959656
happy_01.wav,Happy,67.99958881578948,0.1901296079158783,620.5309995297388,0.462839275598526
happy_02.wav,Happy,92.28515625,0.18102946877479553,1255.1111282690838,0.8075078725814819
happy_03.wav,Happy,135.99917763157896,0.21991011500358582,886.1292101828997,0.4449027478694916
happy_04.wav,Happy,143.5546875,0.18208251893520355,799.2634624499542,0.43803730607032776
happy_05.wav,Happy,99.38401442307692,0.1380499005317688,893.3856432859213,0.39564019441604614
happy_06.wav,Happy,135.99917763157896,0.17413970828056335,785.7768117035972,0.3815625011920929
happy_07.wav,Happy,151.99908088235293,0.15857194364070892,1156.7736226748968,0.47364720702171326
happy_08.wav,Happy,86.1328125,0.19035905599594116,695.79402264172,0.5288269519805908
happy_09.wav,Happy,112.34714673913044,0.14040245115756989,743.5517633507288,0.46860113739967346
happy_10.wav,Happy,112.34714673913044,0.16708296537399292,624.4248122709155,0.5486095547676086
happy_11.wav,Happy,75.99954044117646,0.11204204708337784,730.7816612965476,0.5850449800491333
happy_12.wav,Happy,198.76802884615384,0.19900259375572205,804.5278295062686,0.4030317962169647
happy_13.wav,Happy,172.265625,0.15286824107170105,885.5638484225466,0.3533414602279663
happy_14.wav,Happy,83.35433467741936,0.17373526096343994,820.2370145213071,0.5407814383506775
happy_15.wav,Happy,172.265625,0.14392468333244324,1075.8930202264498,0.5513887405395508
sad_01.wav,Sad,172.265625,0.10154643654823303,533.6361913183621,0.5522308945655823
sad_02.wav,Sad,151.99908088235293,0.12741997838020325,689.6929787565535,0.46898335218429565
sad_03.wav,Sad,117.45383522727273,0.12201441079378128,510.49421222591275,0.5433908700942993
sad_04.wav,Sad,107.666015625,0.14236924052238464,764.6110605206587,0.5895633101463318
sad_05.wav,Sad,184.5703125,0.12300939857959747,847.7725355388661,0.35446470975875854
sad_06.wav,Sad,66.25600961538461,0.09693273156881332,508.0185067958924,0.5173414945602417
sad_07.wav,Sad,112.34714673913044,0.2057354599237442,545.0285962035763,0.6241995692253113
sad_08.wav,Sad,51.6796875,0.16087783873081207,500.49006849675493,0.5906575918197632
sad_09.wav,Sad,123.046875,0.17811472713947296,512.2607156294291,0.6488791108131409
sad_10.wav,Sad,172.265625,0.16906222701072693,570.9516924064402,0.5736123919487
sad_11.wav,Sad,123.046875,0.06504254788160324,609.623857012518,0.4349856972694397
sad_12.wav,Sad,135.99917763157896,0.14144916832447052,571.5839421585372,0.8602380156517029
sad_13.wav,Sad,107.666015625,0.11259138584136963,479.66768449861394,0.4614349603652954
sad_14.wav,Sad,112.34714673913044,0.13357535004615784,450.7779250677717,0.7270004153251648
sad_15.wav,Sad,95.703125,0.16178929805755615,579.4821987564576,0.5737305879592896
