feature,importance
rms_mean,0.08181141646815034
mfcc_1_mean,0.06657955152108631
rms_std,0.06204480926728165
mfcc_4_mean,0.04974569195294543
mfcc_3_mean,0.03193660192301847
mfcc_6_mean,0.030901182882055508
mfcc_5_mean,0.02961150931571238
mfcc_1_std,0.028540490872000435
mfcc_8_std,0.023926261987866394
chroma_12_mean,0.02352623178772918
mfcc_5_std,0.02201206834980738
mfcc_8_mean,0.020455810296173063
chroma_1_mean,0.020107950610993443
spectral_rolloff_mean,0.019503832964027103
mfcc_11_std,0.01887141569167551
mfcc_12_mean,0.018640247693602414
mfcc_2_mean,0.018519903100301358
mfcc_12_std,0.017849146946843635
zcr_mean,0.017846235533498404
chroma_4_mean,0.017446273615351997
mfcc_13_std,0.01740140971285163
mfcc_11_mean,0.017356788880909153
chroma_5_mean,0.01715248841006614
mfcc_7_mean,0.01693584744985605
spectral_centroid_mean,0.016890366953238454
chroma_6_mean,0.016848065603861973
mfcc_2_std,0.016596757053558422
chroma_8_mean,0.016265364629281062
mfcc_4_std,0.0159470244706598
chroma_7_mean,0.015926944666811042
mfcc_13_mean,0.01592603643107711
mfcc_10_std,0.015893441546938853
mfcc_7_std,0.01583397376592563
mfcc_3_std,0.015828733754009887
mfcc_9_std,0.015544072402600962
chroma_10_mean,0.015467396802419762
mfcc_9_mean,0.015315443445971985
chroma_3_mean,0.015263604565445493
mfcc_10_mean,0.015191589070955887
chroma_9_mean,0.015123672474032492
chroma_11_mean,0.01494056164909692
mfcc_6_std,0.01488639488163622
chroma_2_mean,0.014719411925371276
tempo,0.012867976673303435
